0;Label;
"""@ChusnulCh__ @KPK_RI @firlibahuri @KejaksaanRI @ST_Burhanuddin Yuk.  Kita kawal juga korupsi bansos .e-KTP ..sumber waras . Terutama kader merah ..yg masih buron..";Positif;
Bareskrim Sudah Periksa 22 Saksi Terkait Kasus Dugaan Korupsi Jet Pribadi Hendra Kurniawan – indonews –  https://t.co/pXpe9b8AEI – #Opsiin  -  https://t.co/OLAI8uGvVS;Netral;
Bareskrim Sudah Periksa 22 Saksi Terkait Kasus Dugaan Korupsi Jet Pribadi Hendra Kurniawan – indonews –  https://t.co/a9lVDTcQR3 – #Opsiin  https://t.co/RamqAkpmdW;Netral;
"""@AniesIndonesia BW itu siapa, mantan KPK, koq bela kasus korupsi, komitmennya dlm pemberantasan korupsi hanya retorika saja.""";Negatif;
"""@UsniErlangga @democrazymedia @KejaksaanRI harus audit Ada dugaan duplikasi pengadaan gas air mata  HARUS KERAS BERANTAS #KORUPSI";Positif;
"""Kembali ke isu BBM naik, harga harga naik, rupiah melemah, perkara korupsi yang belum tertangani, dan penegakan hukum.  Sila ditambahi sendiri.""";Negatif;
"""@Ani40301187 @pabika_leka45 Iyo Iyo sa paham ko ingin Papua merdeka toh? 🤣🤣   Itulah kawan2 LE teryata teroris OPM semua yg terima uang korupsi 😂😂  https://t.co/YOdN4ArkIS";Negatif;
"""Korupsi/bancakan anggaran pendidikan di sekolah itu paling mudah dilakukan, karena yang dihadapi sehari² oleh pelaku²nya di sekolahan adalah anak² (siswa) dan ortunya, mudah untuk ditipu². Mrk gak paham juknis, apalagi siswa diklaim tugasnya belajar, bukan ngurusin uang rakyat!""";Positif;
"""@PDemokrat Seperti kATAKAN tIDAK pADAHAL kORUPSI.";Negatif;
"""@Candra4smara Jawaban, statementnya..kelihatan aneh2,  dan BuzzerOON nya, berupaya trus mengalihkan isue...sampe yg gugatan ijasah palsu... @KPK_RI  @KejaksaanRI  harus Tetap Berantas Tuntas Korupsi tanpa pandang siapapun pelakunya!💪""";Negatif;
"""Mungkin @AgusYudhoyono melihatnya kehidupan @Edhie_Baskoro @angelinasondak1 @anasurbaningrum yg bilang """"Tidak pada Korupsi"""", mungkin juga mas AHY masih di militer waktu itu.""";Positif;
Korupsi Merugikan Masa Depan Papua .  Kalimantan Tengah .  #PapuaAmanKondusif #PapuaDukungPenegakanHukum #MasyarakatPapuaCintaDamai #RakyatPapuaDukungPemerintah&amp;Netral;
"""@RBuser86 Bang memanya korupsi tu legal y, sehingga anda oerlu melakukan pengawasan, apa kerupsi berjalan tidak sesuai aturan atau petunjuk pelaksanaan  hingga anda perlu melakukan pengawasan 😂😂😂""";Netral;
Korupsi Merugikan Masa Depan Papua .  Kalimantan Tengah .  #PapuaAmanKondusif #PapuaDukungPenegakanHukum #MasyarakatPapuaCintaDamai #RakyatPapuaDukungPemerintah&amp;Netral;
"""@Candra4smara Isu basi bong radikal radikul buat nutupin korupsi pdip";Negatif;
"""@Miduk17 Ehh Ehh Bodat Maling Teriak Maling Loe, WTP dari BPK 5 x Tidak Pernah Terjadi Sejak Jaman Gubernur Taik Ahok memimpin..Malah Kasus2 Korupsi bermunculan Pembelian Tanah Milik Pemprov,Kasus RS DLL  https://t.co/NFj9hZYpLC""";Negatif;
Ini parah nih Kepala suku besar tapi korupsi Jadi teringat koruptor Babah Ato yg dilindungi freemasonry dng kapal perang AS;Negatif;
"""@SahabatSaber Dr beginian biasanya pengikut dan anggota partai korupsi sapi...suka nyinyirin orng lain tapi diri sendiri gak beres.. 😋😋😋😋...sama dgn pendukung Anus Uedan...";Negatif;
"""@owspace aku ada uang gedungnya, ada sppnya, seragamnya juga bayar 😭. walach walachh gurumu korupsi waktu ituu, mintain ganti rugi naa""";Negatif;
"""@Dandhy_Laksono “Kalau sudah sejahtera, mana mungkin terima suap” justru pejabat yg sejahtera yg rata-rata korupsi""";Negatif;
"""@Andiarief__ partai korupsi ketemu partai didikan komunis. cocok banget tuu.";Negatif;
"""@mahasiswigenz Ngomong ngawur trus kerja kuras uang rakyat n kelebihan^bayar:(";Negatif;
"""@nana_juhainah Hati hati sama one abude gabener sara, boneka radikal kadrun dan kaum status quo orba! Anies Beban Negara Bahaya Laten Kadrun! Tangkap Anies korupsi Formula E dki!  https://t.co/w1kVWDIRDP""";Negatif;
"""@Paltiwest @NKRILover45 Itulah kelebihan nya wan Abas bin kadrun Al Yamani yg begitu pandai kalau soal merangkai kata korupsi jadi kelebihan anggaran sehingga KPK cuma bisa mengendus";Negatif;
#RakyatTanya Kenapa sihh KPK Gak pernah Usut Korupsi Jokowi? ~  https://t.co/wensIOdVQP Jenderal08 Presiden2014com;Negatif;
Bangga dengan korupsi . Setan;Negatif;
"""@tohariazka87 @ganjarpranowo @gibran_tweet Apanya yang mau diserang? Prestasi gak ada, ide gak ada.. mau bahas wadas?, banjir semarang, jateng termiskin? Atau korupsi e-ktp.. 🤣🤣""";Negatif;
